Столбец1;district;SOZYV;turnout;deputy;expell;self_success;ER_success;KPRF_success;ya_success;other_success;self_share;er_share;kprf_share;ya_share;other_share;party_deputy_share
Академический;1;3;0.54;12;0.04;0.59;НЕТ;НЕТ;НЕТ;НЕТ;0.83;0,00;0,00;0,00;0,00;0.17
Алексеевский;2;3;0.59;10;0.19;0.38;НЕТ;0.22;НЕТ;НЕТ;0.8;0,00;0.2;0,00;0,00;0.2
Алтуфьевский;3;3;0.55;12;0.14;0.5;НЕТ;0.5;НЕТ;НЕТ;0.75;0,00;0.25;0,00;0,00;0.25
Арбат;4;3;0.49;10;0.35;0.54;НЕТ;0.22;НЕТ;НЕТ;0.7;0,00;0.2;0,00;0,00;0.3
Аэропорт;5;3;0.56;12;0.29;0.29;НЕТ;0.43;НЕТ;НЕТ;0.58;0,00;0.25;0,00;0,00;0.42
Бабушкинский;6;3;0.57;12;0.06;0.22;НЕТ;0.17;НЕТ;НЕТ;0.67;0,00;0.17;0,00;0,00;0.33
Басманный;7;3;0.55;12;0.1;0.32;НЕТ;0.14;0,00;НЕТ;0.75;0,00;0.08;0,00;0,00;0.25
Беговой;8;3;0.55;10;0.39;0.47;НЕТ;0.17;НЕТ;НЕТ;0.9;0,00;0.1;0,00;0,00;0.1
Бескудниковский;9;3;0.52;12;0.21;0.48;НЕТ;0.17;НЕТ;НЕТ;0.83;0,00;0.08;0,00;0,00;0.17
Бибирево;10;3;0.54;16;0.23;0.55;НЕТ;0.67;НЕТ;НЕТ;0.69;0,00;0.13;0,00;0,00;0.31
Бирюлёво Восточное;11;3;0.53;15;0.08;0.42;НЕТ;0.23;НЕТ;НЕТ;0.73;0,00;0.2;0,00;0,00;0.27
Бирюлёво Западное;12;3;0.51;12;0.17;0.53;НЕТ;0.4;НЕТ;НЕТ;0.67;0,00;0.17;0,00;0,00;0.33
Богородское;13;3;0.54;13;0.3;0.52;НЕТ;0,00;НЕТ;НЕТ;1,00;0,00;0,00;0,00;0,00;0,00
Братеево;14;3;0.53;12;0.18;0.55;НЕТ;0,00;НЕТ;НЕТ;0.92;0,00;0,00;0,00;0,00;0.08
Бутырский;15;3;0.57;10;0.21;0.56;НЕТ;0.11;0,00;НЕТ;0.9;0,00;0.1;0,00;0,00;0.1
Вешняки;16;3;0.58;14;0.1;0.52;НЕТ;0.17;НЕТ;НЕТ;0.86;0,00;0.07;0,00;0,00;0.14
Внуково;17;3;0.53;10;0.03;0.46;НЕТ;0.3;0,00;НЕТ;0.6;0,00;0.3;0,00;0,00;0.4
Войковский;18;3;0.57;10;0.32;0.8;НЕТ;0,00;НЕТ;НЕТ;0.8;0,00;0,00;0,00;0,00;0.2
Восточное Дегунино;19;3;0.56;12;0.06;0.75;НЕТ;0.25;НЕТ;НЕТ;0.75;0,00;0.17;0,00;0,00;0.25
Восточное Измайлово;20;3;0.57;12;0.53;0.64;НЕТ;0.33;НЕТ;НЕТ;0.75;0,00;0.08;0,00;0,00;0.25
Восточный;21;3;0.61;10;0.05;0.64;НЕТ;НЕТ;НЕТ;НЕТ;0.7;0,00;0,00;0,00;0,00;0.3
Выхино-Жулебино;22;3;0.57;18;0.06;0.52;НЕТ;0.41;0,00;НЕТ;0.61;0,00;0.39;0,00;0,00;0.39
Гагаринский;23;3;0.59;12;0.1;0.3;НЕТ;0,00;0.5;НЕТ;0.75;0,00;0,00;0.08;0,00;0.25
Головинский;24;3;0.54;15;0.15;0.5;НЕТ;0,00;НЕТ;НЕТ;0.67;0,00;0,00;0,00;0,00;0.33
Гольяново;25;3;0.55;15;0.3;0.55;НЕТ;0.25;НЕТ;НЕТ;0.8;0,00;0.13;0,00;0,00;0.2
Даниловский;26;3;0.56;12;0.14;0.48;НЕТ;НЕТ;0,00;НЕТ;0.83;0,00;0,00;0,00;0,00;0.17
Дмитровский;27;3;0.52;12;0.19;0.71;НЕТ;0.17;НЕТ;НЕТ;0.83;0,00;0.17;0,00;0,00;0.17
Донской;28;3;0.53;10;0.12;0.47;НЕТ;0,00;НЕТ;НЕТ;0.9;0,00;0,00;0,00;0,00;0.1
Дорогомилово;29;3;0.57;12;0.11;0.26;НЕТ;0.22;1,00;НЕТ;0.5;0,00;0.17;0.25;0,00;0.5
Замоскворечье;30;3;0.54;10;0.19;0.29;НЕТ;0.2;0,00;НЕТ;0.6;0,00;0.2;0,00;0,00;0.4
Западное Дегунино;31;3;0.52;10;0.2;0.88;НЕТ;0.2;НЕТ;НЕТ;0.7;0,00;0.1;0,00;0,00;0.3
Зюзино;32;3;0.54;15;0.03;0.55;НЕТ;0.25;НЕТ;НЕТ;0.73;0,00;0.07;0,00;0,00;0.27
Зябликово;33;3;0.55;15;0.06;0.67;НЕТ;0,00;НЕТ;НЕТ;0.93;0,00;0,00;0,00;0,00;0.07
Ивановское;34;3;0.57;15;0.24;0.71;НЕТ;0.5;НЕТ;НЕТ;0.8;0,00;0.2;0,00;0,00;0.2
Измайлово;35;3;0.55;12;0.12;0.59;НЕТ;0.2;0,00;НЕТ;0.83;0,00;0.08;0,00;0.08;0.17
Капотня;36;3;0.52;12;0.14;0.54;НЕТ;НЕТ;НЕТ;НЕТ;0.58;0,00;0,00;0,00;0,00;0.42
Коньково;37;3;0.57;15;0.1;0.56;НЕТ;1,00;НЕТ;НЕТ;0.67;0,00;0.2;0,00;0,00;0.33
Коптево;38;3;0.54;12;0.15;0.41;НЕТ;0.5;1,00;НЕТ;0.75;0,00;0.08;0.17;0,00;0.25
Косино-Ухтомский;39;3;0.47;10;0.15;0.82;НЕТ;0,00;НЕТ;НЕТ;0.9;0,00;0,00;0,00;0,00;0.1
Котловка;40;3;0.54;12;0.04;0.63;НЕТ;0,00;НЕТ;НЕТ;1,00;0,00;0,00;0,00;0,00;0,00
Красносельский;41;3;0.55;10;0.06;0.53;НЕТ;0.14;НЕТ;НЕТ;0.9;0,00;0.1;0,00;0,00;0.1
Крылатское;42;3;0.57;12;0.28;0.69;НЕТ;0.5;НЕТ;НЕТ;0.75;0,00;0.25;0,00;0,00;0.25
Крюково;43;3;0.57;14;0.3;0.52;НЕТ;0.25;НЕТ;НЕТ;0.86;0,00;0.07;0,00;0,00;0.14
Кузьминки;44;3;0.53;15;0.12;0.35;НЕТ;0.25;НЕТ;НЕТ;0.6;0,00;0.2;0,00;0,00;0.4
Кунцево;45;3;0.55;12;0.23;0.58;НЕТ;1,00;НЕТ;НЕТ;0.58;0,00;0.17;0,00;0,00;0.42
Куркино;46;3;0.56;10;0.13;0.35;НЕТ;0.25;1,00;НЕТ;0.7;0,00;0.1;0.2;0,00;0.3
Левобережный;47;3;0.55;10;0.27;0.69;НЕТ;0,00;НЕТ;НЕТ;0.9;0,00;0,00;0,00;0,00;0.1
Лефортово;48;3;0.55;12;0.29;0.38;НЕТ;0.09;НЕТ;НЕТ;0.83;0,00;0.08;0,00;0,00;0.17
Лианозово;49;3;0.59;15;0.15;0.61;НЕТ;0.2;НЕТ;НЕТ;0.73;0,00;0.07;0,00;0,00;0.27
Ломоносовский;50;3;0.57;12;0.11;0.32;НЕТ;0,00;1,00;НЕТ;0.58;0,00;0,00;0.17;0,00;0.42
Лосиноостровский;51;3;0.57;12;0.19;0.43;НЕТ;0,00;НЕТ;НЕТ;1,00;0,00;0,00;0,00;0,00;0,00
Люблино;52;3;0.56;20;0.25;0.76;НЕТ;0.44;НЕТ;НЕТ;0.65;0,00;0.2;0,00;0,00;0.35
Марфино;53;3;0.6;10;0.03;0.56;НЕТ;0,00;0,00;НЕТ;1,00;0,00;0,00;0,00;0,00;0,00
Марьина Роща;54;3;0.57;12;0.11;0.38;НЕТ;0.44;НЕТ;НЕТ;0.67;0,00;0.33;0,00;0,00;0.33
Марьино;55;3;0.56;21;0.16;0.65;НЕТ;0.18;0,00;НЕТ;0.71;0,00;0.14;0,00;0,00;0.29
Матушкино;56;3;0.58;12;0.18;0.58;НЕТ;0,00;НЕТ;НЕТ;0.92;0,00;0,00;0,00;0,00;0.08
Метрогородок;57;3;0.53;10;0.2;0.71;НЕТ;0,00;НЕТ;НЕТ;1,00;0,00;0,00;0,00;0,00;0,00
Мещанский;58;3;0.55;10;0.24;0.47;НЕТ;0.43;НЕТ;НЕТ;0.7;0,00;0.3;0,00;0,00;0.3
Митино;59;3;0.58;12;0.09;0.35;НЕТ;0.22;НЕТ;НЕТ;0.75;0,00;0.17;0,00;0,00;0.25
Можайский;60;3;0.53;11;0,00;0.43;НЕТ;0,00;0,00;НЕТ;0.82;0,00;0,00;0,00;0,00;0.18
Молжаниновский;61;3;0.49;10;0.46;0.77;НЕТ;0,00;НЕТ;НЕТ;1,00;0,00;0,00;0,00;0,00;0,00
Москворечье-Сабурово;62;3;0.55;10;0.08;0.36;НЕТ;0.5;НЕТ;НЕТ;0.8;0,00;0.2;0,00;0,00;0.2
Нагатино-Садовники;63;3;0.54;10;0.18;0.91;НЕТ;0,00;НЕТ;НЕТ;1,00;0,00;0,00;0,00;0,00;0,00
Нагатинский Затон;64;3;0.59;13;0.04;0.42;НЕТ;0.18;НЕТ;НЕТ;0.85;0,00;0.15;0,00;0,00;0.15
Нагорный;65;3;0.55;10;0.08;0.36;НЕТ;0.4;НЕТ;НЕТ;0.8;0,00;0.2;0,00;0,00;0.2
Некрасовка;66;3;0.54;10;0.07;0.63;НЕТ;НЕТ;НЕТ;НЕТ;1,00;0,00;0,00;0,00;0,00;0,00
Нижегородский;67;3;0.53;12;0.02;0.42;НЕТ;0,00;НЕТ;НЕТ;0.92;0,00;0,00;0,00;0,00;0.08
Ново-Переделкино;68;3;0.54;12;0.13;0.77;НЕТ;0,00;0.5;НЕТ;0.83;0,00;0,00;0.08;0,00;0.17
Новогиреево;69;3;0.57;12;0.09;0.69;НЕТ;0.5;0.5;НЕТ;0.75;0,00;0.17;0.08;0,00;0.25
Новокосино;70;3;0.56;15;0.13;0.8;НЕТ;0.67;НЕТ;НЕТ;0.8;0,00;0.13;0,00;0,00;0.2
Обручевский;71;3;0.56;10;0.04;0.44;НЕТ;0.2;1,00;НЕТ;0.8;0,00;0.1;0.1;0,00;0.2
Орехово-Борисово Северное;72;3;0.55;15;0.12;0.56;НЕТ;0.67;НЕТ;НЕТ;0.67;0,00;0.27;0,00;0,00;0.33
Орехово-Борисово Южное;73;3;0.55;15;0.15;0.57;НЕТ;0.5;0,00;НЕТ;0.87;0,00;0.07;0,00;0,00;0.13
Останкинский;74;3;0.58;12;0.05;0.27;НЕТ;0.5;НЕТ;НЕТ;0.58;0,00;0.25;0,00;0,00;0.42
Отрадное;75;3;0.57;18;0.17;0.39;НЕТ;0.33;НЕТ;НЕТ;0.78;0,00;0.22;0,00;0,00;0.22
